고장회복 Head 포멧,원인1,원인2,조치2,처리대상
[고객측작업],IP액세스,정전(전원),사설정전-사설(공사)회복,○ 고객측 작업[작업으로 차단기 OFF->ON 포함]
[전기안전검사],IP액세스,정전(전원),사설정전-사설(공사)회복,○ 전기안전검사로 확인되는 경우
[한전작업],IP액세스,정전(전원),한전정전-전기작업(공사),○ 한전 작업이 확인되는 경우
[한전고장],IP액세스,정전(전원),한전정전-정전(입전)회복,○ 단일 사업장으로 한전 공사/작업 정보없이 한전측으로 부터 입전이 안되는 경우[일대정전 제외]
[일대정전],IP액세스,정전(전원),한전정전-정전(입전)회복,○ NMS를 통하여 충분히 일대정전으로 예측이 되는 경우
[사설차단기복구],IP액세스,정전(전원),사설정전-메인(공용)차단,"○ 사설 차단기 ON [작업, 누수, 침수 제외]"
[사설측누전],IP액세스,정전(전원),사설정전-사설측(인계)점검,○ 차단기 복구시 계속하여 차단기가 OFF 되는 경우
[요금체납],IP액세스,정전(전원),사설정전-한전(요금)체납,○ 요금체납으로 한전에서 전원차단
[출동중복구],IP액세스,정전(전원),사설정전-자연회복,○ 출동중 자연회복 된 경우[원인이 확인 되는 경우는 확인된 원인으로 복구]
[멀티탭 ON/교체],IP액세스,정전(전원),KT전원-멀티탭 ON/교체,○ 멀티탭ON 또는 열화로 교체[누수/침수로 인한 것은 누수/침수 피해로 처리]
[전원어댑터교체],IP액세스,정전(전원),KT전원-전원어댑터(재접속/교체),○ 전원어댑터 불량으로 교체
[플러그_접촉불량],IP액세스,정전(전원),KT전원-전원어댑터(재접속/교체),○ 콘센트 및 멀티탭에 플러그 접촉불량. 단 플러그 탈거는 [플러그_접촉불량] 뒤 기록 요망
[전원가복구],IP액세스,정전(전원),한전정전-임시복구(발전기/파워뱅크),"○ 원인에 무관하게 가복구(파워뱅크,타전원 사용, 발전기가동 등)한 경우"
[전원부교체],IP액세스,KT(장비),장비(H/W)-전원부 유니트,○ 전원부 유니트 교체[PSU 모듈 포함]
[제어부교체],IP액세스,KT(장비),장비(H/W)-제어부 유니트,"○ 제어부(MCU, SCU, MCP 등) 교체"
[장비교체],IP액세스,KT(장비),장비(H/W)-샤시(셀프)교체,○ 샤시교체
[업링크부교체],IP액세스,KT(장비),장비(H/W)-인터페이스 유니트,"○ 업링크부(LSW,LIU 등) 교체"
[가입자부교체],IP액세스,KT(장비),장비(H/W)-가입자부 유니트,"○ 가입자부(AIU, VDL 등) 교체"
[PON모듈교체],IP액세스,KT(장비),장비(H/W)-모듈(PON)교체,○ PON모듈 교체
[장비철거],IP액세스,KT(장비),장비(H/W)-미사용장비(철거),"○ 장비철거[고객 ""0"" 및 미사용으로 장비철거, 단 B/S 및 타사전환으로 인한 정비철거 제외]"
[망실],IP액세스,KT(장비),장비(H/W)-미사용장비(철거),○ 장비가 망실되어 찾을 수 없는 경우
[장비리셋],IP액세스,KT(장비),장비(S/W)-리셋/리부팅,○ 장비리셋[현장에서 리부팅 한 경우]
[설정변경],IP액세스,KT(장비),장비(S/W)-설정변경,○ config를 수정하여 회복된 경우(IP 및 G/W 변경도 config가 변경 됨으로 포함)
[원격제어],IP액세스,KT(장비),장비(S/W)-LOOP차단,"○ 포트 BLK/UBLK, 리부팅, MAC차단, 상위장비에서 L2로 ping test 등"
[원격제어],IP액세스,KT(장비),장비(S/W)-리셋/리부팅,    config를 변경하지 않는 원격제어로 회복된 경우
[원격제어],IP액세스,KT(장비),장비(S/W)-포트(MAC)차단,
[감쇠기],IP액세스,회선(선로),회선(접속불)-감쇠기불량,○ 감쇠기 추가/제거/교체(추가/제거/교체는 [감쇠기] 뒤 기록 요망])
[업링크_UTP],IP액세스,회선(선로),회선(접속불)-광커넥터(재접속/교체),○ UP-LINK용 UTP 케이블 접촉불량 및 불량
[광점퍼코드],IP액세스,회선(선로),회선(접속불)-광OJC교체,"○ 광점퍼코드(OJC) 접촉불량, 밴딩, 단선 등"
[광점퍼코드],IP액세스,회선(선로),회선(접속불)-광커넥터(재접속/교체),"○ 광점퍼코드(OJC) 접촉불량, 밴딩, 단선 등"
[상위망],IP액세스,회선(선로),회선(선로)-광CA수리,"○ [상위망] 뒤 내역 기록 요망 ex) PON_GBIC, PIU, 광케이블 불량 등"
[상위망],IP액세스,회선(선로),회선(선로)-RN 교체,"○ [상위망] 뒤 내역 기록 요망 ex) PON_GBIC, PIU, 광케이블 불량 등"
[상위망],IP액세스,회선(선로),회선(선로)-사내공사피해,"○ [상위망] 뒤 내역 기록 요망 ex) PON_GBIC, PIU, 광케이블 불량 등"
[상위망],IP액세스,회선(선로),회선(선로)-사외공사피해,"○ [상위망] 뒤 내역 기록 요망 ex) PON_GBIC, PIU, 광케이블 불량 등"
[상위망],IP액세스,회선(선로),회선(선로)-예비회선절체,"○ [상위망] 뒤 내역 기록 요망 ex) PON_GBIC, PIU, 광케이블 불량 등"
[화재피해],IP액세스,환경(불가),환경(불가)-화재피해,○ 화재로 장비가 DOWN된 경우(장비소손 여부는 [화재피해] 뒤 기록 요망)
[침수피해],IP액세스,환경(불가),환경(불가)-침수피해,○ 침수로 장비가 DOWN된 경우(장비소손 여부는 [침수피해] 뒤 기록 요망)
[누수피해],IP액세스,환경(불가),환경(불가)-누수피해,"○ 원인이 누수인 경우[장비, 어댑터 및 차단기교체 포함]"
[차량피해],IP액세스,환경(불가),환경(불가)-차량피해,"○ 원인이 차량인 경우[장비, 어댑터 및 차단기교체 포함]"
[타사전환],IP액세스,환경(불가),환경(고객)-타사전환,○ 타사전환으로 장비철거 및 전원OFF
[폐문],IP액세스,환경(불가),환경(고객)-출입불가,○ 폐문으로 복구불가[고장원인 불문]
[폐문],IP액세스,환경(불가),환경(고객)-고객거부,○ 폐문으로 복구불가[고장원인 불문]
[기타],IP액세스,환경(불가),기타,"○ 위 내용 이외의 건. 단,  [기타] 뒤 내용기록 요망"
